Execution time(us),Total energy consumption(J),EDP
636.0,0.0004670024494051401,0.2970135578216691
636.0,0.0004670024494051401,0.2970135578216691
636.0,0.0004670024494051401,0.2970135578216691
39607.0,0.062364893520554125,2470.086337668587
39607.0,0.062364893520554125,2470.086337668587
39607.0,0.062364893520554125,2470.086337668587
39607.0,0.062364893520554125,2470.086337668587
39607.0,0.062364893520554125,2470.086337668587
39607.0,0.062364893520554125,2470.086337668587
39607.0,0.062364893520554125,2470.086337668587
39607.0,0.062364893520554125,2470.086337668587
39607.0,0.062364893520554125,2470.086337668587
39607.0,0.062364893520554125,2470.086337668587
39607.0,0.062364893520554125,2470.086337668587
39607.0,0.062364893520554125,2470.086337668587
89919.0,0.336259872644329,30236.15148830542
71.0,0.0002952200473227789,0.020960623359917302
357.0,0.0014882231175967296,0.5312956529820324
165.0,0.0003901392288066235,0.06437297275309288
641.0,0.0022824447082635054,1.463047057996907
89996.0,0.2578537851532171,23205.809248648926
39513.0,0.04770639034610234,1885.0226017455418
39513.0,0.04770639034610234,1885.0226017455418
39513.0,0.04770639034610234,1885.0226017455418
39513.0,0.04770639034610234,1885.0226017455418
39513.0,0.04770639034610234,1885.0226017455418
39513.0,0.04770639034610234,1885.0226017455418
39994.0,0.1426557880670841,5705.375587954962
39212.0,0.07304844621686038,2864.375673055529
39913.0,0.04636042144752089,1850.3835012349011
39994.0,0.1426557880670841,5705.375587954962
39212.0,0.07304844621686038,2864.375673055529
39913.0,0.04636042144752089,1850.3835012349011
39994.0,0.1426557880670841,5705.375587954962
39212.0,0.07304844621686038,2864.375673055529
39913.0,0.04636042144752089,1850.3835012349011
39994.0,0.1426557880670841,5705.375587954962
39212.0,0.07304844621686038,2864.375673055529
39913.0,0.04636042144752089,1850.3835012349011
39994.0,0.1426557880670841,5705.375587954962
39212.0,0.07304844621686038,2864.375673055529
39513.0,0.04770639034610234,1885.0226017455418
39513.0,0.04770639034610234,1885.0226017455418
39513.0,0.04770639034610234,1885.0226017455418
39513.0,0.04770639034610234,1885.0226017455418
39513.0,0.04770639034610234,1885.0226017455418
39513.0,0.04770639034610234,1885.0226017455418
39513.0,0.04770639034610234,1885.0226017455418
39913.0,0.04636042144752089,1850.3835012349011
39212.0,0.07304844621686038,2864.375673055529
39994.0,0.1426557880670841,5705.375587954962
39913.0,0.04636042144752089,1850.3835012349011
39212.0,0.07304844621686038,2864.375673055529
39994.0,0.1426557880670841,5705.375587954962
39513.0,0.04770639034610234,1885.0226017455418
39513.0,0.04770639034610234,1885.0226017455418
39513.0,0.04770639034610234,1885.0226017455418
39513.0,0.04770639034610234,1885.0226017455418
39513.0,0.04770639034610234,1885.0226017455418
39513.0,0.04770639034610234,1885.0226017455418
39513.0,0.04770639034610234,1885.0226017455418
39513.0,0.04770639034610234,1885.0226017455418
39513.0,0.04770639034610234,1885.0226017455418
39513.0,0.04770639034610234,1885.0226017455418
39513.0,0.04770639034610234,1885.0226017455418
39513.0,0.04770639034610234,1885.0226017455418
39513.0,0.04770639034610234,1885.0226017455418
39513.0,0.04770639034610234,1885.0226017455418
39513.0,0.04770639034610234,1885.0226017455418
39513.0,0.04770639034610234,1885.0226017455418
39513.0,0.04770639034610234,1885.0226017455418
39513.0,0.04770639034610234,1885.0226017455418
39513.0,0.04770639034610234,1885.0226017455418
39913.0,0.05014444959143997,2001.4154165431435
39212.0,0.07998952494660103,3136.5492522061195
39994.0,0.1690783163932398,6762.118185831233
39913.0,0.04636042144752089,1850.3835012349011
39212.0,0.07304844621686038,2864.375673055529
39994.0,0.1426557880670841,5705.375587954962
39913.0,0.05014444959143997,2001.4154165431435
39212.0,0.07998952494660103,3136.5492522061195
39994.0,0.1690783163932398,6762.118185831233
39913.0,0.04636042144752089,1850.3835012349011
39212.0,0.07304844621686038,2864.375673055529
39994.0,0.1426557880670841,5705.375587954962
60139.0,0.0723300564388632,4349.857264176794
60144.0,0.07178728819160345,4317.574660995798
60128.0,0.07143851265789282,4295.4548890937795
128209.0,0.0935647890672024,11995.848041516952
128209.0,0.0935647890672024,11995.848041516952
60139.0,0.0723300564388632,4349.857264176794
60266.0,0.12791267220824185,7708.785103301903
60266.0,0.12791267220824185,7708.785103301903
60266.0,0.12791267220824185,7708.785103301903
83662.0,0.0720779215682837,6030.183074245751
83662.0,0.0720779215682837,6030.183074245751
